
message,label
I’ll be there in 8:00 AM.,0
Lose belly fat fast with our special diet plan. Click the link to get started!,1
Your account has been temporarily suspended due to suspicious login attempts. Click here to verify your account.,1
Lose belly fat fast with our special diet plan. Click the link to get started!,1
Don’t forget about our meeting on Friday.,0
Your mailbox has exceeded its storage quota. Click here to avoid losing emails.,1
Your account has been temporarily suspended due to suspicious login attempts. Click here to verify your account.,1
I’ll drop by your office at 3:00 PM.,0
I can’t wait to see you!,0
We should catch up over coffee sometime soon.,0
Don’t forget to submit the presentation by this afternoon.,0
I finished reading the book you recommended. It was excellent!,0
Don’t forget to submit the project report by this afternoon.,0
Thank you for your quick response.,0
I will call you later this afternoon.,0
"You have been selected for a $10,000 grant. Apply now to receive the funds.",1
Great job on the task today!,0
Looking forward to our vacation next week!,0
You have been pre-approved for a low interest credit card. Apply now to get your new card.,1
Congratulations on your graduation! We are proud of you.,0
Let’s meet for dinner at 5:30 PM tonight.,0
Let’s schedule a call to discuss the details of the new product launch.,0
You have been selected to receive a free vacation package. Respond now to claim.,1
Please confirm your attendance for the webinar.,0
Let’s go for a walk this evening. The weather is nice.,0
Please let me know if you have any questions about the research study.,0
Transform your life with our miracle supplement. Click the link to learn more.,1
Are you free this weekend? Let’s plan a trip.,0
Exclusive deal! Buy one get one free on our tablet. Limited time offer.,1
Get 0% interest on personal loans today! Apply now.,1
Get free ringtones by subscribing to our premium service! Reply RINGTONE now!,1
You have been chosen to receive a free shopping voucher. Click here to claim!,1
I’ll drop by your office at 7:00 PM.,0
Confirm your account information to avoid service interruption. Click here to verify.,1
Don’t forget to water the plants today.,0
Don’t forget to submit the project report by tonight.,0
Get free ringtones by subscribing to our premium service! Reply RINGTONE now!,1
We found a package addressed to you. Click here to confirm your shipping details.,1
"Happy birthday, Chris! Hope you have a wonderful day.",0
You have been pre-approved for a low interest credit card. Apply now to get your new card.,1
Good luck on your science test. You’ve got this!,0
You have been selected for a free car! Reply YES to claim now.,1
Congratulations on your new baby!,0
Low interest rates available for a limited time! Apply for a loan today.,1
"Happy birthday, Michael! Hope you have a wonderful day.",0
Lunch was great yesterday! Let’s do it again sometime.,0
Get unlimited access to premium content at 90% discount. Click here to subscribe.,1
I’m so proud of you for getting the award.,0
Great job on the presentation today!,0
"Hey Michael, are we meeting at 1:00 PM tomorrow?",0
I finished reading the book you recommended. It was excellent!,0
"Hey Michael, are we meeting at 5:30 PM tomorrow?",0
Win a free shopping voucher! Follow our page and tag two friends to enter.,1
Don’t forget to submit the project report by end of day.,0
You have been chosen to receive a free vacation package. Click here to claim!,1
I’ll drop by your office at 2:00 PM.,0
Limited time offer: Invest in our crypto scheme and double your money in a week!,1
Transform your life with our miracle supplement. Click the link to learn more.,1
You have been pre-approved for a low interest credit card. Apply now to get your new card.,1
Please let me know if you have any questions about the research study.,0
You have been awarded an exclusive membership card. Confirm your details to activate.,1
I will be late to the office today. Stuck in traffic.,0
Don’t forget to water the plants today.,0
Don’t forget to submit the project report by end of day.,0
Your tax refund is pending. Submit your information here to receive it.,1
Want free samples? Follow us and share this post to claim.,1
Lunch was great yesterday! Let’s do it again sometime.,0
I’m so proud of you for getting the award.,0
Your tax refund is pending. Submit your information here to receive it.,1
You have been pre-approved for a low interest credit card. Apply now to get your new card.,1
The meeting has been moved to 11:00 AM.,0
Get free ringtones by subscribing to our premium service! Reply RINGTONE now!,1
Great job on the report today!,0
Please confirm your attendance for the birthday party.,0
Low interest rates available for a limited time! Apply for a loan today.,1
Earn $500 daily working from home. Sign up now and start earning immediately.,1
Thanks for your assistance with the report.,0
Win a free shopping voucher! Follow our page and tag two friends to enter.,1
Your mailbox has exceeded its storage quota. Click here to avoid losing emails.,1
Limited time offer: Invest in our crypto scheme and double your money in a week!,1
You have been chosen to receive a free vacation package. Click here to claim!,1
Just wanted to say thank you for your help earlier.,0
Looking forward to seeing you at the team building event.,0
Win a brand new tablet! Reply WIN to enter the lucky draw.,1
You have been chosen to receive a free gift card worth $500. Click here to claim!,1
Get free ringtones by subscribing to our premium service! Reply RINGTONE now!,1
You have been chosen to receive a free vacation package. Click here to claim!,1
Thanks for your assistance with the analysis.,0
Please review the attached proposal and let me know your feedback.,0
Congratulations! You have been selected to win a luxury vacation to Bali. Respond with YES to confirm.,1
"Want to make $10,000 per month from home? Send us a message!",1
Low interest rates available for a limited time! Apply for a loan today.,1
Get free ringtones by subscribing to our premium service! Reply RINGTONE now!,1
Please let me know if you have any questions about the software development project.,0
